id_penjualan, barang
90000150,AQUA GALON
90000151,INDOMIE GORENG JUMBO AYAM PANGGANG 128GR
90000151,PERMEN JAHE
90000151,GAGA MI 100 GRG PEDAS 88 GR
90000151,NASI KUNING DAN BIHUN GORENG
90000152,INDOMIE GORENG JUMBO AYAM PANGGANG 128GR
90000153,INDOMIE GORENG JUMBO 129 GR
90000153,INDOMIE GORENG JUMBO AYAM PANGGANG 128GR
90000153,BENDERA SKM KRIMER 45 GR
90000154,ANEKA JAJANAN PASAR
90000154,NESTLE BEAR BRAND KLNG 189 ML
90000154,NASI KUNING DAN BIHUN GORENG
90000155,ROKOK MARLBORO LIGHT
90000155,ALFAONE 240ML
90000156,ANEKA JAJANAN PASAR
90000157,ANEKA JAJANAN PASAR
90000157,AQUA CUP 240 ML
90000157,KOTAK KUE SELERA MANTAP 12X16
90000158,TEH BTL SOSRO LESS SUGAR 500 ML
90000159,INDOMIE KARI AYAM 72 GR
90000159,CHIKI SNACK BALL 12G
90000159,JETZ SWEET COKLAT 15 GR
90000160,ANEKA JAJANAN PASAR
90000160,SPRITE 1500 ML
90000160,NASI KUNING DAN BIHUN GORENG
90000161,ANEKA JAJANAN PASAR
90000161,TEH KOTAK SOSRO JASMINE 250 ML
90000161,KOTAK KUE SELERA MANTAP 12X16
90000162,ROKOK SURYA 16
90000163,ANEKA JAJANAN PASAR
90000163,FRESTEA GREEN HONEY 500 ML
90000163,BOLU PANDAN POTONG MARTABAK BESAR
90000163,NASI KUNING DAN BIHUN GORENG
90000164,ANEKA JAJANAN PASAR
90000164,AQUA 330ML
90000164,SARI ROTI SANDWICH ISI KEJU
90000164,PEMPEK NUR SATUAN
90000165,ROKOK SURYA 16
90000166,BOBO ROTI SOBEK COKLAT
90000167,KOPIKO 78C BTL 250 ML
90000167,JOY TEA JASMINE 500 ML
90000168,CITRA HBL WHITE UV 250 ML
90000169,AQUA 600ML
90000169,ROKOK SURYA 16
90000170,INDOCAFE COFFEMIX 20GR
90000171,ULTRA MILK LOW FAT 250 ML
90000171,ROKOK SURYA 16
90000172,ROKOK MARLBORO LIGHT
90000173,SATE KERANG
90000174,ROKOK SAMPURNA MILD 16
90000175,ANEKA JAJANAN PASAR
90000175,FANTA STRAWBERY 1 5 LITER PET
90000175,TEH BTL SOSRO JASMINE 500 ML
90000176,ROKOK MARLBORO LIGHT
90000176,FRESTEA GREEN HONEY 500 ML
90000177,ULTRA MILK COKLAT 250 ML
90000177,ULTRA MILK LOW FAT COK 250ML
90000177,ULTRA SARI KACANG HIJAU 200 ML
90000177,PEMPEK KAP KECIL ISI 5
90000178,POP MIE RASA AYAM 56 GR
90000178,ANEKA JAJANAN PASAR
90000178,SAMBAL EKSTRA HOT 140ML
90000178,GOOD DAY WHITE CAPPUC 25G
90000179,ANEKA JAJANAN PASAR
90000180,FRESTEA BLACK JASMINE HONEY 500 ML
90000180,YOU C 1000 LEMON 140ML
90000180,GANTUNGAN KUNCI RUMAH HOLDER
90000181,ANEKA JAJANAN PASAR
90000181,ALFAONE 240ML
90000182,CAKAR AYAM PISANG MOLEN RR
90000182,KERIPIK PISANG YOPI
90000182,KERIPIK SINGKONG PEDAS N ASIN PITOYO
90000183,ANEKA JAJANAN PASAR
90000184,ROKOK MARLBORO MERAH
90000185,ANEKA JAJANAN PASAR
90000185,ROKOK MARLBORO MERAH
90000186,ANEKA JAJANAN PASAR
90000186,POCARI SWEAT BTL 500 ML
90000186,ROKOK DJI SAM SOE MAGNUM
90000187,KOPI BINTANG 1/2kg
90000188,ANEKA JAJANAN PASAR
90000189,TEH SOSRO KTK JASMINE 200 ML
90000189,RUJAK MI RAGIT
90000189,BOLU KUKUS
90000190,ANEKA JAJANAN PASAR
90000190,SPRITE BTL 425 ML
90000191,ROKOK MARLBORO MERAH
90000191,GOOD DAY RASA MOCACINNO BTL 250 ML
90000192,DUNHILL MILD 16
90000193,ALFA ONE GALON ISI ULANG
90000194,ALFA ONE GALON ISI ULANG
90000194,TORABIKA DUO SUSU 6x33G
90000195,ALFA ONE GALON ISI ULANG
90000196,ULTRA MILK COKLAT 250 ML
90000196,ULTRA MILK LOW FAT 250 ML
90000197,ROKOK DJARUM SUPER MLD 20
90000197,ROKOK SAMPURNA MILD 12
90000198,ROKOK SAMPURNA MILD 16
90000199,ANEKA JAJANAN PASAR
90000199,AQUA PRIMA 1500 ML
90000200,ANEKA JAJANAN PASAR
90000200,SPRITE 1500 ML
90000200,ADES 1500 ML
90000201,ROKOK SAMPURNA MILD 16 LIMITED 
90000201,ROKOK SAMPURNA MENTHOL 16
90000202,ANEKA JAJANAN PASAR
90000202,POCARI 350ML
90000203,POCARI 350ML
90000203,HEMAVITON STAMINA PLUS 5 S
90000204,POCARI SWEAT BTL 500 ML
90000204,PEMPEK NUR SATUAN
90000205,KRATINGDAENG REG 150ML
90000205,FRESTEA FRUTCY LEMON 500 ML
90000205,Q GUAVA BTL 350 ML
90000205,LASEGAR RASA SIRSAK 320 ML
90000206,KRATINGDAENG REG 150ML
90000207,SPRITE 1500 ML
90000207,MINUTE MAID PULPY TROPICAL 350 ML
90000207,ROKOK DJI SAM SOE MAGNUM
90000207,ROKOK SAMPURNA MILD 16
90000208,SILVER QUEEN  CASHEW 75G
90000208,KACANG BAWANG ANIK
90000209,GLADE SENSATION FLORAL PERPECT REFF 8 GR
90000209,SANDAL SWALLOW
90000210,ROKOK DJI SAM SOE MAGNUM
90000211,AQUA CUP 240 ML
90000211,STELLA ALL IN ONE F LEMON 70 GR
90000212,KOPIKO 78C BTL 250 ML
90000213,ALFA ONE GALON ISI ULANG
90000213,STREPSIL SUGAR FREE 6 BTR
90000214,ANEKA JAJANAN PASAR
90000215,ANEKA JAJANAN PASAR
90000215,SUPER O2 BTL 385 ML
90000215,ROKOK SURYA 16
90000216,FROZZ MINT 15 GR
90000216,MATERAI
90000217,POCARI SWEAT BTL 500 ML
90000218,ANEKA JAJANAN PASAR
90000218,CIMORY YOGURT BLUEBERRY 250ML
90000219,SARI ROTI SANDWICH ISI COKLAT
90000219,LASEGAR RASA JERUK 320ML
90000219,MATERAI
90000220,BATERE ENERGIZER ALK MAX E91 BP4
90000221,SUNLIGHT LIME REFIL 800 ML
90000222,YUPI DINO LAND 10G
90000222,OREO CHOCOLATE CREAM 29 GR
90000223,ANEKA JAJANAN PASAR
90000223,RUJAK MI RAGIT
90000224,KOREK GAS FOX
90000225,ROKOK SAMPURNA MILD 16
90000226,FRESTEA GREEN 500 ML
90000226,FRESTEA FRUCY APEL 500 ML
90000227,ANEKA JAJANAN PASAR
90000228,CLASS MILD 16
90000229,ANEKA JAJANAN PASAR
90000229,AQUA 600ML
90000230,CLASS MILD 16
90000230,POCARI SWEAT BTL 500 ML
90000231,KERIPIK SINGKONG PEDAS N ASIN PITOYO
90000232,PERMEN MINT DOUBLEMINT 125 GR
90000232,FOX PASSION MINT BAG 125 GR
90000232,ROKOK SURYA 16
90000233,POCARI SWEAT BTL 2 LTR
90000234,COCA-COLA BTL 425 ML
90000234,SPRITE BTL 425 ML
90000234,FANTA STRAWBERRY BTL 425 ML
90000234,FANTA JERUK BTL 425ML
90000235,ROKOK GG FILTER  12
90000236,AQUA 600ML
90000236,CLASS MILD 16
90000237,ROKOK SURYA 16
90000238,AQUA 600ML
90000238,SPRITE 1500 ML
90000238,ROKOK SAMPURNA MILD 16
90000239,FANTA STRAWBERY 1 5 LITER PET
90000239,KOPIKO 78C BTL 250 ML
90000240,CLASS MILD 16
90000241,AQUA 600ML
90000242,AQUA PRIMA 1500 ML
90000242,MINUTE PULPY ALOEVERA 350 ML
90000243,GOOD DAY RASA MOCACINNO BTL 250 ML
90000243,ADES NATURAL 600 ML
90000244,ANEKA JAJANAN PASAR
90000244,ROKOK SAMPURNA MILD 16
90000244,KACANG BAWANG ANIK
90000245,ANEKA JAJANAN PASAR
90000246,INDOMIE GRNG RENDANG PEDAS
90000246,ADES NATURAL 600 ML
90000246,JOY TEA HONEY MINT 465ML
90000246,HEXOS RASA BARLEY MINT
90000246,BOLU PANDAN POTONG MARTABAK BESAR
90000247,AQUA PRIMA 1500 ML
90000247,FANTA STRAWBERY 1 5 LITER PET
